National Database Number,Field Number,Nmfs Regional Number,Confidence Code,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Contributors,Effort,"If Effort=Other, Then Specify",Region,Country,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Units,Longitude Actual/Estimate,How lat/long determined,Restrand,Group Event Number,Group Event Flag,Mass Stranding Number,Group Type: Cow Calf Pair,Group Type: Mass Stranding,Group Type: UME,Num of Animals in Group Event,Number of Animals Act/Est,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,SW Fishery Type,Other Human Interaction,Other Human Int Description,SW Other Human Int Type,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,2001 Level A: External Exam,2001 Level A: Internal Exam,2001 Level A: Not Examined,How Determined: Describe,Gear Collection Flag,Gear Disposition Flag,Other Findings upon Level Y/N,Other Findings - Illness Flag,Other Findings - Injury Flag,Other Findings - Pregnant Flag,Other Findings - Other Flag,Other Findings - Descibe,SW Other Findings Type,2007 Other Findings - External,2007 Other Findings - Internal,2007 Other Findings - Necropsy,2007 Other Findings - Other,2007 Other Findings - Descibe,2001 Other Findings - Descibe,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Obs Date estimate explaination,Observation Date Act/Est,Observation Status,Not Able to Examine,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated Flag,Disentangled Flag,Euthanized at Site Flag,Died at Site Flag,Transferred to Rehabilitation,Date of Initial Disposition,Year of Initial Disposition,Month of Initial Disposition,Day of Initial Disposition,Rehab Facility Name,Died During Transport Flag,Euthanized During Transport,Other Flag,Other Describe Flag,Sick Flag,Injured Flag,Out of Habitat Flag,Deemed Healthy/Releasable Flag,Abandoned/Orphaned Flag,Inaccesible Flag,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD Flag,Condition Other Flag,Condition Other Description,Entangled Flag,Condition Comments,Sex,Age Class,2007 Whole Carcass,2007 Partial Carcass,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Photos/Vidoes Disposition,Carcass Left at Site Flag,Carcass Buried Flag,Carcass Rendered Flag,Carcass Towed Flag,Carcass Towed Lattitude,Carcass Towed Longitude,Carcass Sunk Flag,Carcass Sunk Lattitude,Carcass Sunk Longitude,Carcass Frozen for Later Exam,Carcass Landfill Flag,Carcass Unknown Flag,Carcass Other Flag,Carcass Other Description,Scientific Collection Flag,Educational Collection Flag,Other Collection Flag,Other Collection Describe,Other Collection Comments,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers,GE Number - GE_Module,How lat or long determined,Ex First Examined,Ex Country,Ex State or County,Ex City,Ex Body of Water,Ex Locality Detail,Ex Latitude,Ex Lat actual,Ex Longitude,Ex Lon actual,Ex How lat or long determined,Ex lat achived other text,No Rehab Options,Incinerated,Composted,Carcass Code at Necropsy,Samples Collected-Histology,Samples Collected-Other Diag,Samples Collected-Life Hist,Samples Collected-Skeletal,Samples Collected-Other,Samples Collected-Other Text,Human Interaction Report,human interaction contributed,GE Type(s) - GE_Module,Group Event Flag - GE_Module,GE Num of Animals - GE_Module,GE Num of Animals Act or Est - GE_Module
NE-2011-1143219,NMFSNER082111UnWH,NER11-4570,Confirmed - Minimum,UNIDENTIFIED WHALE,,,Validated,Lanni Hall,NOAA Fisheries Northeast Regional Office,NMFS,,,,NE,United States,,New Haven,CT,Atlantic Ocean,Long Sand Shoal-Eastern Side,41.2416,decimal degrees,estimate,–72.3333,decimal degrees,actual,GPS,N,,N,,N,N,N,1,actual,CBD,N,N,N,,N,,,N,N,N,N,,,,,,,CBD,N,N,N,N,,,N,N,N,N,,,2011-AUG-21,2011,AUG,21,Floating,,,Condition Unknown,Y,,,,,Condition Unknown,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,UNKNOWN,Y,N,1219,cm,estimate,0,kg,estimate,N,,Y,N,N,N,,,N,,,N,N,N,N,,N,N,N,,,NA,,,,,,,,No description or pictures from reporting party through Coast Guard. No response due to lack of description and assets in area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1993-1037676,MMASXBP9314,S199312CTC001,Unconfirmed,"Whale, fin",Balaenoptera,physalus,Validated,Rob Nawojchik,,Mystic Marine Life Aquarium,,,,NE,United States,NEW HAVEN,New Haven,CT,Atlantic Ocean,"WEST SIDE OF NEW HAVEN HARBOR, NEXT TO LONG WHARF MARITIME CENTER; LONG ISLAND SOUND, N. ATLANTIC",4117.9,decimal degrees,,7254.5,decimal degrees,,,N,,N,,N,N,N,1,,N,N,N,N,,N,,,,,,,,,,,N,,,N,N,,N,,,,,,,,,1993-DEC-18,1993,DEC,18,,,,Alive,N,1993-DEC-18,1993,DEC,18,Alive,N,N,N,N,N,Y,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,UNKNOWN,,,1201,cm,actual,10191,kg,actual,Y,,N,Y,N,N,,,N,,,N,Y,N,N,,N,N,N,,"tissues for histopath- UCONN, MMA; tissues for tox- MMA; right eye- Yale; larynx- Quinnipiac college; right tympanic bulla-Yale; right flipper- Quinnipiac college.",Y,,,1993-DEC-21,1993,DEC,21,,"The whale was first reported ~3:00 pm on 12/18/1993 in very shallow (<2m) water along the shore in New Haven Harbor. The whale became trapped on the inside of some short but jagged pilings, upon which it thrashed off and on for the next couple of hours. Attempts to re-orient the whale failed; it died at 7:00 pm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1993-1037693,93MMAOMN02,S199303DEC001,Unconfirmed,"Whale, humpback",Megaptera,novaeangliae,Validated,Frances Cresswell,,Maryland Department of Natural Resources,,,,NE,United States,LEWES,Sussex,DE,Atlantic Ocean,CAPE HENLOPEN STATE PARK,3846,decimal degrees,,7505,decimal degrees,,,N,,N,,N,N,N,1,,CBD,N,N,N,,N,,,,,,,,,,,N,,,N,N,,N,,,,,,,,,1993-MAR-06,1993,MAR,6,,,,Moderate Decomposition,N,1993-MAR-07,1993,MAR,7,Moderate Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,UNKNOWN,,,988,cm,actual,,kg,actual,Y,,N,Y,N,N,,,N,,,N,N,N,N,,N,N,N,,muscle blubber and skin samples to NMNH,N,,,,,,,,Measurements taken from tip of lower jaw as head was buried. Photographs of flukes sent to the College of the Atlantic for fingerprinting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1998-1039832,LES219BP,S199812DEC001,Unconfirmed,"Whale, fin",Balaenoptera,physalus,Validated,Leon Spence,,DNREC-Division of Fish and Wildlife,,,,NE,United States,REHOBOTH BEACH,Sussex,DE,Atlantic Ocean,APPROX 5.5 MI. SE OF REHOBOTH BEACH WHEN FIRST SIGHTED,3839.73,decimal degrees,,7457.26,decimal degrees,,,N,,N,,N,N,N,1,,CBD,N,N,N,,N,,,,,,,,,,,N,,Y,N,N,,Y,discoloration around left flipper may indicate boat collision,,,,,,,discoloration around left flipper may indicate boat collision,1998-DEC-02,1998,DEC,2,,,,Fresh Dead,N,1998-DEC-03,1998,DEC,3,Fresh Dead,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,UNKNOWN,,,600,in,estimate,78400,lb,estimate,Y,,Y,N,N,N,,,N,,,N,N,N,N,,N,N,N,,,N,,,,,,,,Received call from Sue Knowles approx. 1730 12/2/98 about dead whale off Indian River Inlet. Went to Coast Guard Station at Indian River Inlet to ID pictures taken by Coast Guard. At that time we thought it could possibly be a Sei Whale. 12/3/98 went out to examine whale with Coast Guard. ID'd whale as a fin whale. Position of whale when we left it at 0830 12/3/98 was 38 43.21N X 74 55.31W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-1996-1039803,095EJS,S199605DEC001,Unconfirmed,"Whale, humpback",Megaptera,novaeangliae,Validated,Edna J. Stetzar,,DNREC-Division of Fish and Wildlife,,,,NE,United States,LEWES,Sussex,DE,Atlantic Ocean,CAPE HENLOPEN STATE PARK; ATLANTIC OCEAN,3836.68,decimal degrees,,7504.39,decimal degrees,,,N,,N,,N,N,N,1,,Y,Y,N,N,,N,prop cutts,,,,,,,,,necropsy,N,,N,N,N,,N,,,,,,,,necropsy,1996-MAY-09,1996,MAY,9,,,,Moderate Decomposition,N,1996-MAY-10,1996,MAY,10,Moderate Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,UNKNOWN,,,288,in,actual,,lb,actual,Y,,N,Y,N,N,,,N,,,N,N,N,N,,N,N,N,,Necropsy date fabricated because its unknown.,Y,,,1996-MAY-10,1996,MAY,10,,Waiting for original paperwork from Charlie Potter. See Cetacean Data Record. Prop cuts behind blow hole.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2001-1036651,ST363BA,S200104DEC003,Unconfirmed,"Whale, minke",Balaenoptera,acutorostrata,Validated,Suzanne Thurman,,DNREC-Division of Fish and Wildlife,,,,NE,United States,LEWES,Sussex,DE,Atlantic Ocean,ATLANTIC OCEAN; CAPE HENLOPEN STATE PARK; 400 M SOUTH OF BATH HOUSE,3846.79,decimal degrees,,7505.12,decimal degrees,,,N,,N,,N,N,N,1,,CBD,N,N,N,,N,,,,,,,,,,,N,,,N,N,,N,,,,,,,,,2001-APR-04,2001,APR,4,,,,Advanced Decomposition,N,2001-APR-04,2001,APR,4,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,UNKNOWN,,,123,in,actual,,lb,actual,Y,Polaroids,N,N,N,N,,,N,,,N,N,Y,N,,Y,N,N,,Baleen and Humerus collected,N,,,,,,,,"Baleen, humerus collected. 1 3/4 inches blubber layer.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2017-1195738,MERR-ST1547Mn,NER17-00152,Confirmed - High Report,"Whale, humpback",Megaptera,novaeangliae,OPEN,MERR,MERR Inc.,MERR Inc.,,,,NE,United States,Little Creek,Kent,DE,,DE Bay; Port Mahon; near pier,39.181077,decimal degrees,estimate,–75.403408,decimal degrees,estimate,Internet,N,,N,,N,N,N,1,actual,CBD,N,N,N,,N,Left Pec flipper and dorsal fin severed,,Y,N,N,N,,,,,N,,CBD,N,N,N,N,,,Y,N,N,N,,,2017-APR-23,2017,APR,23,Floating,,,Advanced Decomposition,N,2017-APR-23,2017,APR,23,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,UNKNOWN,SUBADULT,N,Y,1003,cm,actual,49500,lb,estimate,Y,MERR,N,N,N,Y,,,N,,,N,N,N,N,,Y,N,N,,,N,,,,,,,,"Whale was first reported with bald eagles feeding on the carcass, and located at the end of the first pier. Extreme winds and high tides pushed the whale over and between two rows of pilings running parallel to the shoreline. The whale became hooked on a piling at the hinge of the jaw. Due to rough seas, towing was not possible at the time of the stranding, and took place the following week. The whale was towed to the state wildlife area north of Pickering Beach and landed on the beach to decompose above ground. Burial not possible due to the substrate of that area. Prior to that, the whale landed on the small beach area west of the pier so a limited examination took place. Basic morphometrics and genetic samples were collected, as well as photo documentation.The left pectoral fin was missing, and the dorsal fin appeared severed. Subsequent examination occurred on 5/24/17. A gauge was observed near the upper thoracic vertebrae. Ribs were intact.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2016-1192216,MERRCA1538Mn,NER16-00627,Confirmed - High Report,"Whale, humpback",Megaptera,novaeangliae,OPEN,MERR,MERR Inc.,MERR Inc.,,,,NE,United States,Wilmington,New Castle,DE,,"Christina River- Port of Wilmington, Berth 1",39.717316,decimal degrees,,–75.518067,decimal degrees,estimate,Internet,N,,N,,N,N,N,1,actual,Y,N,N,Y,,N,,,Y,N,N,N,,,,,Y,NOAA/OLE,CBD,N,N,N,N,,,Y,N,N,N,,,2016-OCT-28,2016,OCT,28,Floating,,,Moderate Decomposition,N,2016-OCT-28,2016,OCT,28,Moderate Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,ADULT,Y,N,883.9,cm,actual,50000,lb,estimate,Y,MERR (Sent to PCCS;NOAA;OLE),N,Y,N,N,,,N,,,N,N,N,N,,Y,N,N,,,N,,,,,,,,"Deceased Humpback whale reported by the port of Wilmington at approximately 3:15a.m. The whale was floating in Berth 1 at this port, presenting ventrally. A ship docked in the berth, before responders could arrive on scene, which delayed the response effort until 2:30p.m.; when the ship departed. An IAP was developed via conference call w/ MERR; Port of Wilmington; Wilmington Fire Dept. As to how to safely and effectively tow the whale and land it. MERR rescue divers performed in water securements, applying straps to tow and lift the whale; Wilmington fire dept. provide 2 vessels to tow the whale out of the berth for access by the crane; P.O.W. used a crane to lift the whale by the straps onto the pavement on docks. The whale was successfully landed at 4:30pm. Incisions were made in ventral area prior to lift to assist with release of pressure from gases. Whale was bloated; tongue exposed during lifting, casual wide spread blood and fluid spray. Whale was entangled with fishing gear, which included orange and white striped bullet buoy w/ #DG9748; and a smaller oval shaped white float; white twisted line; and a smaller section of orange line. Entanglement went through the mouth, w/ bullet buoy at left corner, around pectoral fins, body and tail flukes. Large wound has occurred at lower of mouth with buoy attached. Left pectoral had constriction wounds. Gear documented and sent to David Morin, OLE. Fluke photos sent to Scott Laudry at PCCST, Rosemary Seton at COA> Whale had been previously sighted 2 weeks prior off Iaswich, MA with entanglement in place. She was caught with a weir off of New Brunswick 2 weeks prior to that, without entanglement. Miller environmental was contracted by P.O.W to handle containment and disposal of carcass. It was handled to the Wildlife Conservation area along the banks of the C+D canal (Managed by army corps of engineers) for burial, coordinated with DNREC. Skin, blubber collected. Necropsy could not take place due to loss of daylight and hazardous conditions posed by slippery surfaces and water proximity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2011-1131590,ST1044Ba,NER11-1315,Confirmed - High Report,"Whale, minke",Balaenoptera,acutorostrata,Validated,Suzanne Thurman,MERR Inc.,MERR Inc.,,,,NE,United States,Fenwick Island,Sussex,DE,Atlantic Ocean,James St.,38.4652,decimal degrees,actual,–75.05,decimal degrees,actual,GPS,N,,N,,N,N,N,1,actual,Y,N,N,Y,,N,,,Y,Y,Y,N,,,,,N,,Y,Y,N,N,Y,Entanglement Scab,,N,N,Y,N,,,2011-MAY-26,2011,MAY,26,Beach or Land,,,Alive,N,2011-MAY-26,2011,MAY,26,Fresh Dead,N,N,N,N,N,Y,N,,,,,,N,N,N,,Y,N,N,N,N,N,N,N,N,N,,,,FEMALE,SUBADULT,Y,N,303,in,actual,13228,lb,estimate,Y,Digitals: M.E.R.R.,N,Y,N,N,,,N,,,N,N,N,N,,Y,N,N,,,Y,limited,fresh,2011-MAY-26,2011,MAY,26,M.E.R.R.,Emaciated animal; see necropsy report for additional details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2009-1099907,ST932Ba,NER09-2632,Confirmed - High Report,"Whale, minke",Balaenoptera,acutorostrata,Validated,Suzanne Thurman,MERR Inc.,MERR Inc.,,,,NE,United States,Lewes,Sussex,DE,Atlantic Ocean,"DE Bay, Cape Henlopen State Park; Bayside of Point; near parking lot",38.79472,decimal degrees,actual,–75.09333,decimal degrees,actual,GPS,N,,N,,N,N,N,1,actual,CBD,N,N,N,,N,,,Y,Y,Y,N,,,,,N,,Y,Y,N,N,N,,,Y,Y,Y,N,,,2009-AUG-08,2009,AUG,8,Beach or Land,,,Alive,N,2009-AUG-08,2009,AUG,8,Fresh Dead,N,Y,N,N,Y,N,N,,,,,,N,N,N,,Y,N,N,N,N,N,N,N,N,N,,,,FEMALE,SUBADULT,Y,N,696,cm,actual,13000,lb,estimate,Y,Digitals-MERR,N,Y,N,N,,,N,,,N,N,N,Y,Composted,Y,Y,N,,,Y,complete,fresh,2009-AUG-09,2009,AUG,9,MERR,"Whale stranded alive, perpendicular to beach. 4 attempts to refloat the whale were unsuccessful. She would circle around and return to beach. Decision was made to euthanize after 4th unsuccessful attempt. See necropsy report for more details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2010-1139155,ST1025Eg,NER10-5365,Confirmed - High Report,"Whale, unidentified right",Eubalaena,,OPEN,Suzanne Thurman,MERR Inc.,MERR Inc.,,,,NE,United States,Dewey Beach,Sussex,DE,,Indian River Inlet near Coast Guard Basin,38.60837,decimal degrees,estimate,–75.073957,decimal degrees,estimate,Internet,N,,N,,N,N,N,,,CBD,N,N,N,,N,Report of potential boat collision,,N,N,N,N,,,,,N,,CBD,N,N,N,N,,,N,N,N,N,,,2010-OCT-06,2010,OCT,6,,,,Alive,Y,2010-OCT-06,2010,OCT,6,Alive,N,N,N,N,N,N,N,,,,,,N,N,Y,Unable to relocate,N,Y,N,N,N,N,N,N,N,N,,,,UNKNOWN,SUBADULT,N,N,540,in,estimate,,,,Y,Video on YouTube (http://www.youtube.com/watch?v=N6dKBlc-EGE),N,N,N,N,,,N,,,N,N,N,N,,N,N,N,,,N,,,,,,,,"The whale was reported as free swimming in the Indian River inlet near the Coast Guard Basin by numerous fishermen who were in the inlet and Indian River Bay. A video was captured by one of the fishers and put on YouTube (http://www.youtube.com/watch?v=N6dKBlc-EGE). Later that afternoon a call was placed to Fish and Wildlife to report a possible collision between the whale and a pontoon boat. The boater reported having collided with something with enough force to dislodge his motor, damaging the hardware. He was concerned that it was the whale based on earlier sightings and the historical lac of stationery or floating objects in this waterway due to strong currents. MERR initiated search by vessels that same day and an arial search by helicopter on the following morning 11/23/10. No sightings occurred.","Could not confirm whale strike, however, based upon expert (US Coast Guard) opinion, it is unlikely there would be an immovable object in this area due to the rapid current flow.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2016-1187284,ST1511Mn,NER16-00242,Confirmed - High Report,"Whale, humpback",Megaptera,novaeangliae,OPEN,MERR,MERR Inc.,MERR Inc.,,,,NE,United States,Bethany Beach,Sussex,DE,Atlantic Ocean,Pelicans Pouch,38.56705,decimal degrees,actual,–75.05687,decimal degrees,actual,Internet,N,,N,,N,N,N,1,actual,Y,Y,N,N,,Y,possible ship strike,,Y,Y,Y,N,,,,,N,,Y,N,Y,N,N,,,Y,Y,Y,N,,,2016-JUN-17,2016,JUN,17,Floating,,,Moderate Decomposition,N,2016-JUN-17,2016,JUN,17,Moderate Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,SUBADULT,Y,N,399,in,actual,45000,lb,estimate,Y,digitals sent to MERR,N,Y,N,N,,,N,,,N,N,N,N,,Y,Y,N,,,Y,limited,fresh,2016-JUN-17,2016,JUN,17,MERR,contusion on rostrum significant shark scavenging along right side  baleen dislodged. from right side of gum hemorrhagic tissue around skull and throat see necropsy report for more details partial necropsy buried on beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2017-1195740,MERR-ST1580Mn,NER17-00153,Confirmed - High Report,"Whale, humpback",Megaptera,novaeangliae,OPEN,MERR,MERR Inc.,MERR Inc.,,,,NE,United States,Rehoboth Beach,Sussex,DE,Atlantic Ocean,North Shores,38.734638,decimal degrees,actual,–75.07848,decimal degrees,actual,GPS,N,,N,,N,N,N,1,actual,Y,Y,N,N,,N,,,Y,Y,N,N,,,,,N,,Y,N,Y,N,Y,Shark scavening; boat prop wounds; blunt force tra,,Y,Y,N,N,,,2017-MAY-04,2017,MAY,4,Beach or Land,,,Moderate Decomposition,N,2017-MAY-04,2017,MAY,4,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,SUBADULT,Y,N,1186,cm,actual,45000,lb,estimate,Y,MERR,N,Y,N,N,,,N,,,N,N,N,N,,Y,N,N,,,Y,limited,fresh,2017-MAY-04,2017,MAY,4,MERR,"Boat propellor wounds located along ventral region. Shark bites along lateral region. Potential blunt force trauma impacting left side of body. Hemorrhaging present in tissues and left mandible bone. Cervical vertebrae dislodged. Baleen separated from jaw. No stomach contents. Internal organs and brain soupy. Genetics, photos, blowhole swab collected. Due to late hour of the day, and impending nor'easter predicted the following day, sampling was limited due to the need to bury the carcass while heavy equipment was available.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2010-1125181,ST1017BP,NER10-4424,Confirmed - High Report,"Whale, fin",Balaenoptera,physalus,OPEN,Suzanne Thurman,MERR Inc.,MERR Inc.,,,,NE,United States,Lewes,Sussex,DE,Atlantic Ocean,"CHSP, Point oceanside",38.796389,decimal degrees,actual,–75.089444,decimal degrees,actual,GPS,N,,N,,N,N,N,1,actual,CBD,N,N,N,,N,,,N,N,N,N,,,,,N,,N,N,N,N,N,,,N,N,N,N,,,2010-SEP-03,2010,SEP,3,Beach or Land,,,Moderate Decomposition,N,2010-SEP-03,2010,SEP,3,Moderate Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,PUP/CALF,N,N,945,cm,actual,,,,Y,,N,Y,N,N,,,N,,,N,N,N,N,,N,N,N,,,Y,,,2010-SEP-03,2010,SEP,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2010-1119682,ST987Bp,NER10-2697,Confirmed - High Report,"Whale, fin",Balaenoptera,physalus,OPEN,Suzanne Thurman,MERR Inc.,MERR Inc.,,,,NE,United States,Fenwick Island,Sussex,DE,Atlantic Ocean,Fenwick Towers,38.480278,decimal degrees,actual,–75.050278,decimal degrees,actual,GPS,N,,N,,N,N,N,1,actual,Y,Y,N,N,,N,,,Y,Y,Y,N,,,,,N,,CBD,N,N,N,N,,,Y,Y,Y,N,,,2010-MAR-19,2010,MAR,19,Beach or Land,,,Moderate Decomposition,N,2010-MAR-19,2010,MAR,19,Moderate Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,SUBADULT,Y,N,1859.28,cm,actual,120000,lb,estimate,Y,Digitals: MERR,Y,N,N,N,,,N,,,N,N,N,N,,Y,N,N,,,Y,limited,fresh,2010-MAR-22,2010,MAR,22,MERR,Tip of dorsal fin severed: Appears to be old wound Circular Abrasion: 41.3 CM 25CM X 10CM Hemorrhage: located just right of the dorsal ridge- mid body Tattoos on jaw line Exuded significant amount of blood from mouth (blood tinged fluid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2004-1055985,ST614Mn,BLANKNE14865,Confirmed - High Report,"Whale, humpback",Megaptera,novaeangliae,Validated,Suzanne Thurman,MERR Inc.,MERR Inc.,,,,NE,United States,Bethany Beach,Sussex,DE,Atlantic Ocean,Sea Colony,38.7925,decimal degrees,estimate,–75.0883,decimal degrees,estimate,GPS,N,,N,,N,N,N,1,,Y,Y,N,N,,N,,,,,,,,,,internal and external exams.,N,,CBD,N,N,,N,,,,,,,,,2004-DEC-19,2004,DEC,19,,,,Moderate Decomposition,N,2004-DEC-19,2004,DEC,19,Moderate Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,PUP/CALF,,,803,cm,actual,24000,lb,estimate,Y,MERR,N,Y,N,N,,,N,,,N,N,N,N,,Y,Y,N,,,Y,,,2004-DEC-21,2004,DEC,21,"MERR, COL","Code 3-4 Broken jaw-both left and right side: flesh around jaw damaged Extensive gull predation on much of the exposed skin 2 semi-circular marks /wounds on right side of jaw extending back towards the flipper. See necropsy report. dec minutes: 38 47.55, -75 05.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2009-1104025,ST902Bb,NER09-3352,Confirmed - High Report,"Whale, sei",Balaenoptera,borealis,Validated,Suzanne Thurman,MERR Inc.,MERR Inc.,,,,NE,United States,Dewey Beach,Sussex,DE,Atlantic Ocean,Conquest Road; Delaware Seashore State Park- north of Crossing,38.64888,decimal degrees,estimate,–75.06862,decimal degrees,estimate,GPS,N,,N,,N,N,N,1,actual,CBD,N,N,N,,N,,,Y,N,N,N,,,,,N,,CBD,N,N,N,N,,,N,N,N,N,,,2009-MAY-20,2009,MAY,20,Floating,,,Advanced Decomposition,N,2009-MAY-20,2009,MAY,20,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,MALE,SUBADULT,Y,N,1272.54,cm,actual,50000,lb,estimate,Y,,N,Y,N,N,,,N,,,N,N,N,N,,N,N,N,,,Y,complete,fresh,2009-MAY-20,2009,MAY,20,MERR,"Scavenger damage: tip of left tail fluke, gouge in ventral peduncle caused by towing. 75% of skin missing. Shark bites: healed in right tail fluke (4 in. and 8 in; about 1.5 to 2 inch in width). Fish bike marks scattered over body. Confirmed fracture in caudal portion of Right and Left mandibles; parasites present in tissue at mandible joint. Hemorrhage: in dorsal region in from of left flipper approximately .5 meter. Fractured skull behind blowhole. Baleen missing: 1/4 remaining in mouth- more present on right side lat/long: 38.43.23, -75.04.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE-2018-1206983,MERRST1730MN,NER18-01409,Confirmed - High Report,"Whale, humpback",Megaptera,novaeangliae,OPEN,MERR,MERR Inc.,MERR Inc.,,,,NE,United States,Lewes,Sussex,DE,Atlantic Ocean,Cape Point of CHSP.,38.8051042,decimal degrees,actual,–75.094573,decimal degrees,actual,Other,,,,,,,,,,Y,Y,C,C,,N,,,,,,,,,,,N,,CBD,,,,,,,Y,Y,Y,,,,2018-DEC-16,2018,DEC,16,Beach or Land,,,Advanced Decomposition,Y,2018-DEC-16,2018,DEC,16,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,SUBADULT,Y,,1122.68,cm,estimate,40000,lb,estimate,Y,MERR,Y,,,,,,,,,,,,,,Y,,,,,Y,limited,,2018-Dec-17,2018,DEC,17,MERR,See Report,,,Phone,Beach or Land,35,527,Lewes,1509,Cape Point of CHSP.,38.8051042,actual,75.094573,actual,Other,Phone,,,,4,Y,,Y,Y,,,Y,Probable,,,,
NE-2006-1058159,ST701Bp,NER06-655,Confirmed - High Report,"Whale, fin",Balaenoptera,physalus,Validated,Suzanne Thurman,MERR Inc.,MERR Inc.,,,,NE,United States,South Bethany,Sussex,DE,Atlantic Ocean,"Middlesex Beach, between Bethany and South Bethany",38.5201,decimal degrees,estimate,–75.0531,decimal degrees,estimate,GPS,N,,N,,N,N,N,1,actual,CBD,N,N,N,,N,,,,,,,,,,External and internal exam,N,,CBD,N,N,,N,,,,,,,External and internal exam,,2006-MAY-10,2006,MAY,10,,,,Advanced Decomposition,N,2006-MAY-13,2006,MAY,13,Advanced Decomposition,N,N,N,N,N,N,N,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,,FEMALE,SUBADULT,,,1676.4,cm,actual,70000,lb,estimate,Y,MERR,N,Y,N,N,,,N,,,N,N,N,N,,Y,Y,N,,,Y,,,2006-MAY-14,2006,MAY,14,S. Thurman,"2 large circular gashes on left lateral. Organs and tissue were strewn along the beach for approximately 1 mile from stranding site. Whale was located in surf zone for Day 1 and 2 of response. See report for further details. Dec minutes: 38 31.203, -75 03.186",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
