"","Year","Variable","Val","Loc","N"
"1",1982,"OISST_HW_count",0,"NYB",NA
"2",1983,"OISST_HW_count",2,"NYB",NA
"3",1984,"OISST_HW_count",3,"NYB",NA
"4",1985,"OISST_HW_count",2,"NYB",NA
"5",1986,"OISST_HW_count",1,"NYB",NA
"6",1987,"OISST_HW_count",0,"NYB",NA
"7",1988,"OISST_HW_count",1,"NYB",NA
"8",1989,"OISST_HW_count",1,"NYB",NA
"9",1990,"OISST_HW_count",3,"NYB",NA
"10",1991,"OISST_HW_count",2,"NYB",NA
"11",1992,"OISST_HW_count",0,"NYB",NA
"12",1993,"OISST_HW_count",2,"NYB",NA
"13",1994,"OISST_HW_count",2,"NYB",NA
"14",1995,"OISST_HW_count",1,"NYB",NA
"15",1996,"OISST_HW_count",0,"NYB",NA
"16",1997,"OISST_HW_count",0,"NYB",NA
"17",1998,"OISST_HW_count",0,"NYB",NA
"18",1999,"OISST_HW_count",3,"NYB",NA
"19",2000,"OISST_HW_count",2,"NYB",NA
"20",2001,"OISST_HW_count",3,"NYB",NA
"21",2002,"OISST_HW_count",5,"NYB",NA
"22",2003,"OISST_HW_count",1,"NYB",NA
"23",2004,"OISST_HW_count",0,"NYB",NA
"24",2005,"OISST_HW_count",2,"NYB",NA
"25",2006,"OISST_HW_count",3,"NYB",NA
"26",2007,"OISST_HW_count",2,"NYB",NA
"27",2008,"OISST_HW_count",2,"NYB",NA
"28",2009,"OISST_HW_count",3,"NYB",NA
"29",2010,"OISST_HW_count",5,"NYB",NA
"30",2011,"OISST_HW_count",5,"NYB",NA
"31",2012,"OISST_HW_count",4,"NYB",NA
"32",2013,"OISST_HW_count",4,"NYB",NA
"33",2014,"OISST_HW_count",3,"NYB",NA
"34",2015,"OISST_HW_count",5,"NYB",NA
"35",2016,"OISST_HW_count",8,"NYB",NA
"36",2017,"OISST_HW_count",5,"NYB",NA
"37",2018,"OISST_HW_count",3,"NYB",NA
"38",2019,"OISST_HW_count",7,"NYB",NA
"39",2020,"OISST_HW_count",2,"NYB",NA
"40",1982,"OISST_HW_duration",0,"NYB",NA
"41",1983,"OISST_HW_duration",5,"NYB",NA
"42",1984,"OISST_HW_duration",12.6666666666667,"NYB",NA
"43",1985,"OISST_HW_duration",20.5,"NYB",NA
"44",1986,"OISST_HW_duration",7,"NYB",NA
"45",1987,"OISST_HW_duration",0,"NYB",NA
"46",1988,"OISST_HW_duration",9,"NYB",NA
"47",1989,"OISST_HW_duration",6,"NYB",NA
"48",1990,"OISST_HW_duration",7.33333333333333,"NYB",NA
"49",1991,"OISST_HW_duration",8,"NYB",NA
"50",1992,"OISST_HW_duration",0,"NYB",NA
"51",1993,"OISST_HW_duration",10.5,"NYB",NA
"52",1994,"OISST_HW_duration",12.5,"NYB",NA
"53",1995,"OISST_HW_duration",6,"NYB",NA
"54",1996,"OISST_HW_duration",0,"NYB",NA
"55",1997,"OISST_HW_duration",0,"NYB",NA
"56",1998,"OISST_HW_duration",0,"NYB",NA
"57",1999,"OISST_HW_duration",17.3333333333333,"NYB",NA
"58",2000,"OISST_HW_duration",11,"NYB",NA
"59",2001,"OISST_HW_duration",9.66666666666667,"NYB",NA
"60",2002,"OISST_HW_duration",15.6,"NYB",NA
"61",2003,"OISST_HW_duration",7,"NYB",NA
"62",2004,"OISST_HW_duration",0,"NYB",NA
"63",2005,"OISST_HW_duration",14.5,"NYB",NA
"64",2006,"OISST_HW_duration",17,"NYB",NA
"65",2007,"OISST_HW_duration",6.5,"NYB",NA
"66",2008,"OISST_HW_duration",6,"NYB",NA
"67",2009,"OISST_HW_duration",16.3333333333333,"NYB",NA
"68",2010,"OISST_HW_duration",15.6,"NYB",NA
"69",2011,"OISST_HW_duration",50,"NYB",NA
"70",2012,"OISST_HW_duration",32,"NYB",NA
"71",2013,"OISST_HW_duration",24.25,"NYB",NA
"72",2014,"OISST_HW_duration",33.3333333333333,"NYB",NA
"73",2015,"OISST_HW_duration",46,"NYB",NA
"74",2016,"OISST_HW_duration",18.125,"NYB",NA
"75",2017,"OISST_HW_duration",20.6,"NYB",NA
"76",2018,"OISST_HW_duration",27.3333333333333,"NYB",NA
"77",2019,"OISST_HW_duration",14,"NYB",NA
"78",2020,"OISST_HW_duration",26.5,"NYB",NA
"79",1982,"OISST_HW_duration_max",0,"NYB",NA
"80",1983,"OISST_HW_duration_max",5,"NYB",NA
"81",1984,"OISST_HW_duration_max",24,"NYB",NA
"82",1985,"OISST_HW_duration_max",33,"NYB",NA
"83",1986,"OISST_HW_duration_max",7,"NYB",NA
"84",1987,"OISST_HW_duration_max",0,"NYB",NA
"85",1988,"OISST_HW_duration_max",9,"NYB",NA
"86",1989,"OISST_HW_duration_max",6,"NYB",NA
"87",1990,"OISST_HW_duration_max",10,"NYB",NA
"88",1991,"OISST_HW_duration_max",11,"NYB",NA
"89",1992,"OISST_HW_duration_max",0,"NYB",NA
"90",1993,"OISST_HW_duration_max",14,"NYB",NA
"91",1994,"OISST_HW_duration_max",16,"NYB",NA
"92",1995,"OISST_HW_duration_max",6,"NYB",NA
"93",1996,"OISST_HW_duration_max",0,"NYB",NA
"94",1997,"OISST_HW_duration_max",0,"NYB",NA
"95",1998,"OISST_HW_duration_max",0,"NYB",NA
"96",1999,"OISST_HW_duration_max",38,"NYB",NA
"97",2000,"OISST_HW_duration_max",17,"NYB",NA
"98",2001,"OISST_HW_duration_max",15,"NYB",NA
"99",2002,"OISST_HW_duration_max",29,"NYB",NA
"100",2003,"OISST_HW_duration_max",7,"NYB",NA
"101",2004,"OISST_HW_duration_max",0,"NYB",NA
"102",2005,"OISST_HW_duration_max",15,"NYB",NA
"103",2006,"OISST_HW_duration_max",36,"NYB",NA
"104",2007,"OISST_HW_duration_max",7,"NYB",NA
"105",2008,"OISST_HW_duration_max",7,"NYB",NA
"106",2009,"OISST_HW_duration_max",28,"NYB",NA
"107",2010,"OISST_HW_duration_max",40,"NYB",NA
"108",2011,"OISST_HW_duration_max",181,"NYB",NA
"109",2012,"OISST_HW_duration_max",51,"NYB",NA
"110",2013,"OISST_HW_duration_max",43,"NYB",NA
"111",2014,"OISST_HW_duration_max",75,"NYB",NA
"112",2015,"OISST_HW_duration_max",105,"NYB",NA
"113",2016,"OISST_HW_duration_max",57,"NYB",NA
"114",2017,"OISST_HW_duration_max",45,"NYB",NA
"115",2018,"OISST_HW_duration_max",50,"NYB",NA
"116",2019,"OISST_HW_duration_max",23,"NYB",NA
"117",2020,"OISST_HW_duration_max",27,"NYB",NA
"118",1982,"OISST_HW_intensity_mean",0,"NYB",NA
"119",1983,"OISST_HW_intensity_mean",1.9051,"NYB",NA
"120",1984,"OISST_HW_intensity_mean",1.82696666666667,"NYB",NA
"121",1985,"OISST_HW_intensity_mean",1.7693,"NYB",NA
"122",1986,"OISST_HW_intensity_mean",1.5763,"NYB",NA
"123",1987,"OISST_HW_intensity_mean",0,"NYB",NA
"124",1988,"OISST_HW_intensity_mean",1.9233,"NYB",NA
"125",1989,"OISST_HW_intensity_mean",1.7037,"NYB",NA
"126",1990,"OISST_HW_intensity_mean",1.62653333333333,"NYB",NA
"127",1991,"OISST_HW_intensity_mean",2.1713,"NYB",NA
"128",1992,"OISST_HW_intensity_mean",0,"NYB",NA
"129",1993,"OISST_HW_intensity_mean",1.7068,"NYB",NA
"130",1994,"OISST_HW_intensity_mean",1.9942,"NYB",NA
"131",1995,"OISST_HW_intensity_mean",1.5063,"NYB",NA
"132",1996,"OISST_HW_intensity_mean",0,"NYB",NA
"133",1997,"OISST_HW_intensity_mean",0,"NYB",NA
"134",1998,"OISST_HW_intensity_mean",0,"NYB",NA
"135",1999,"OISST_HW_intensity_mean",1.6643,"NYB",NA
"136",2000,"OISST_HW_intensity_mean",1.5922,"NYB",NA
"137",2001,"OISST_HW_intensity_mean",1.90276666666667,"NYB",NA
"138",2002,"OISST_HW_intensity_mean",1.7935,"NYB",NA
"139",2003,"OISST_HW_intensity_mean",1.4601,"NYB",NA
"140",2004,"OISST_HW_intensity_mean",0,"NYB",NA
"141",2005,"OISST_HW_intensity_mean",1.77695,"NYB",NA
"142",2006,"OISST_HW_intensity_mean",2.2139,"NYB",NA
"143",2007,"OISST_HW_intensity_mean",1.8182,"NYB",NA
"144",2008,"OISST_HW_intensity_mean",2.07065,"NYB",NA
"145",2009,"OISST_HW_intensity_mean",1.90013333333333,"NYB",NA
"146",2010,"OISST_HW_intensity_mean",1.9276,"NYB",NA
"147",2011,"OISST_HW_intensity_mean",2.15734,"NYB",NA
"148",2012,"OISST_HW_intensity_mean",2.3712,"NYB",NA
"149",2013,"OISST_HW_intensity_mean",1.91945,"NYB",NA
"150",2014,"OISST_HW_intensity_mean",1.88073333333333,"NYB",NA
"151",2015,"OISST_HW_intensity_mean",2.2806,"NYB",NA
"152",2016,"OISST_HW_intensity_mean",2.0343625,"NYB",NA
"153",2017,"OISST_HW_intensity_mean",1.8468,"NYB",NA
"154",2018,"OISST_HW_intensity_mean",2.70403333333333,"NYB",NA
"155",2019,"OISST_HW_intensity_mean",1.99602857142857,"NYB",NA
"156",2020,"OISST_HW_intensity_mean",1.56735,"NYB",NA
"157",1982,"OISST_HW_intensity_max",0,"NYB",NA
"158",1983,"OISST_HW_intensity_max",2.2489,"NYB",NA
"159",1984,"OISST_HW_intensity_max",2.0848,"NYB",NA
"160",1985,"OISST_HW_intensity_max",2.2289,"NYB",NA
"161",1986,"OISST_HW_intensity_max",1.6963,"NYB",NA
"162",1987,"OISST_HW_intensity_max",0,"NYB",NA
"163",1988,"OISST_HW_intensity_max",2.4202,"NYB",NA
"164",1989,"OISST_HW_intensity_max",1.9831,"NYB",NA
"165",1990,"OISST_HW_intensity_max",1.9042,"NYB",NA
"166",1991,"OISST_HW_intensity_max",2.4304,"NYB",NA
"167",1992,"OISST_HW_intensity_max",0,"NYB",NA
"168",1993,"OISST_HW_intensity_max",1.92285,"NYB",NA
"169",1994,"OISST_HW_intensity_max",2.36535,"NYB",NA
"170",1995,"OISST_HW_intensity_max",1.6653,"NYB",NA
"171",1996,"OISST_HW_intensity_max",0,"NYB",NA
"172",1997,"OISST_HW_intensity_max",0,"NYB",NA
"173",1998,"OISST_HW_intensity_max",0,"NYB",NA
"174",1999,"OISST_HW_intensity_max",2.1787,"NYB",NA
"175",2000,"OISST_HW_intensity_max",2.0524,"NYB",NA
"176",2001,"OISST_HW_intensity_max",2.27,"NYB",NA
"177",2002,"OISST_HW_intensity_max",2.11764,"NYB",NA
"178",2003,"OISST_HW_intensity_max",1.6774,"NYB",NA
"179",2004,"OISST_HW_intensity_max",0,"NYB",NA
"180",2005,"OISST_HW_intensity_max",2.32045,"NYB",NA
"181",2006,"OISST_HW_intensity_max",2.6347,"NYB",NA
"182",2007,"OISST_HW_intensity_max",2.04885,"NYB",NA
"183",2008,"OISST_HW_intensity_max",2.27145,"NYB",NA
"184",2009,"OISST_HW_intensity_max",2.41976666666667,"NYB",NA
"185",2010,"OISST_HW_intensity_max",2.37874,"NYB",NA
"186",2011,"OISST_HW_intensity_max",3.37144,"NYB",NA
"187",2012,"OISST_HW_intensity_max",3.044225,"NYB",NA
"188",2013,"OISST_HW_intensity_max",2.53335,"NYB",NA
"189",2014,"OISST_HW_intensity_max",2.3298,"NYB",NA
"190",2015,"OISST_HW_intensity_max",3.20484,"NYB",NA
"191",2016,"OISST_HW_intensity_max",2.6213625,"NYB",NA
"192",2017,"OISST_HW_intensity_max",2.32562,"NYB",NA
"193",2018,"OISST_HW_intensity_max",3.66663333333333,"NYB",NA
"194",2019,"OISST_HW_intensity_max",2.58052857142857,"NYB",NA
"195",2020,"OISST_HW_intensity_max",2.119,"NYB",NA
"196",1982,"OISST_HW_intensity_max_max",0,"NYB",NA
"197",1983,"OISST_HW_intensity_max_max",2.513,"NYB",NA
"198",1984,"OISST_HW_intensity_max_max",2.2116,"NYB",NA
"199",1985,"OISST_HW_intensity_max_max",2.925,"NYB",NA
"200",1986,"OISST_HW_intensity_max_max",1.6963,"NYB",NA
"201",1987,"OISST_HW_intensity_max_max",0,"NYB",NA
"202",1988,"OISST_HW_intensity_max_max",2.4202,"NYB",NA
"203",1989,"OISST_HW_intensity_max_max",1.9831,"NYB",NA
"204",1990,"OISST_HW_intensity_max_max",1.9665,"NYB",NA
"205",1991,"OISST_HW_intensity_max_max",2.8833,"NYB",NA
"206",1992,"OISST_HW_intensity_max_max",0,"NYB",NA
"207",1993,"OISST_HW_intensity_max_max",1.9676,"NYB",NA
"208",1994,"OISST_HW_intensity_max_max",2.3857,"NYB",NA
"209",1995,"OISST_HW_intensity_max_max",1.6653,"NYB",NA
"210",1996,"OISST_HW_intensity_max_max",0,"NYB",NA
"211",1997,"OISST_HW_intensity_max_max",0,"NYB",NA
"212",1998,"OISST_HW_intensity_max_max",0,"NYB",NA
"213",1999,"OISST_HW_intensity_max_max",2.7695,"NYB",NA
"214",2000,"OISST_HW_intensity_max_max",2.6717,"NYB",NA
"215",2001,"OISST_HW_intensity_max_max",2.6165,"NYB",NA
"216",2002,"OISST_HW_intensity_max_max",2.9427,"NYB",NA
"217",2003,"OISST_HW_intensity_max_max",1.6774,"NYB",NA
"218",2004,"OISST_HW_intensity_max_max",0,"NYB",NA
"219",2005,"OISST_HW_intensity_max_max",2.4569,"NYB",NA
"220",2006,"OISST_HW_intensity_max_max",2.8615,"NYB",NA
"221",2007,"OISST_HW_intensity_max_max",2.3141,"NYB",NA
"222",2008,"OISST_HW_intensity_max_max",2.546,"NYB",NA
"223",2009,"OISST_HW_intensity_max_max",2.7336,"NYB",NA
"224",2010,"OISST_HW_intensity_max_max",3.5095,"NYB",NA
"225",2011,"OISST_HW_intensity_max_max",5.2162,"NYB",NA
"226",2012,"OISST_HW_intensity_max_max",3.5799,"NYB",NA
"227",2013,"OISST_HW_intensity_max_max",3.0398,"NYB",NA
"228",2014,"OISST_HW_intensity_max_max",2.9068,"NYB",NA
"229",2015,"OISST_HW_intensity_max_max",3.7971,"NYB",NA
"230",2016,"OISST_HW_intensity_max_max",3.3715,"NYB",NA
"231",2017,"OISST_HW_intensity_max_max",2.6956,"NYB",NA
"232",2018,"OISST_HW_intensity_max_max",4.8687,"NYB",NA
"233",2019,"OISST_HW_intensity_max_max",3.2836,"NYB",NA
"234",2020,"OISST_HW_intensity_max_max",2.2516,"NYB",NA
"235",1982,"OISST_HW_intensity_var",0,"NYB",NA
"236",1983,"OISST_HW_intensity_var",0.32235,"NYB",NA
"237",1984,"OISST_HW_intensity_var",0.2028,"NYB",NA
"238",1985,"OISST_HW_intensity_var",0.2451,"NYB",NA
"239",1986,"OISST_HW_intensity_var",0.0987,"NYB",NA
"240",1987,"OISST_HW_intensity_var",0,"NYB",NA
"241",1988,"OISST_HW_intensity_var",0.3056,"NYB",NA
"242",1989,"OISST_HW_intensity_var",0.2409,"NYB",NA
"243",1990,"OISST_HW_intensity_var",0.2063,"NYB",NA
"244",1991,"OISST_HW_intensity_var",0.2218,"NYB",NA
"245",1992,"OISST_HW_intensity_var",0,"NYB",NA
"246",1993,"OISST_HW_intensity_var",0.15155,"NYB",NA
"247",1994,"OISST_HW_intensity_var",0.20355,"NYB",NA
"248",1995,"OISST_HW_intensity_var",0.1069,"NYB",NA
"249",1996,"OISST_HW_intensity_var",0,"NYB",NA
"250",1997,"OISST_HW_intensity_var",0,"NYB",NA
"251",1998,"OISST_HW_intensity_var",0,"NYB",NA
"252",1999,"OISST_HW_intensity_var",0.247933333333333,"NYB",NA
"253",2000,"OISST_HW_intensity_var",0.2643,"NYB",NA
"254",2001,"OISST_HW_intensity_var",0.225466666666667,"NYB",NA
"255",2002,"OISST_HW_intensity_var",0.22504,"NYB",NA
"256",2003,"OISST_HW_intensity_var",0.1576,"NYB",NA
"257",2004,"OISST_HW_intensity_var",0,"NYB",NA
"258",2005,"OISST_HW_intensity_var",0.3116,"NYB",NA
"259",2006,"OISST_HW_intensity_var",0.309766666666667,"NYB",NA
"260",2007,"OISST_HW_intensity_var",0.2097,"NYB",NA
"261",2008,"OISST_HW_intensity_var",0.24375,"NYB",NA
"262",2009,"OISST_HW_intensity_var",0.320666666666667,"NYB",NA
"263",2010,"OISST_HW_intensity_var",0.32664,"NYB",NA
"264",2011,"OISST_HW_intensity_var",0.47402,"NYB",NA
"265",2012,"OISST_HW_intensity_var",0.38895,"NYB",NA
"266",2013,"OISST_HW_intensity_var",0.35165,"NYB",NA
"267",2014,"OISST_HW_intensity_var",0.272466666666667,"NYB",NA
"268",2015,"OISST_HW_intensity_var",0.55038,"NYB",NA
"269",2016,"OISST_HW_intensity_var",0.3767625,"NYB",NA
"270",2017,"OISST_HW_intensity_var",0.30768,"NYB",NA
"271",2018,"OISST_HW_intensity_var",0.684433333333333,"NYB",NA
"272",2019,"OISST_HW_intensity_var",0.373271428571429,"NYB",NA
"273",2020,"OISST_HW_intensity_var",0.2448,"NYB",NA
"274",1982,"OISST_HW_intensity_cumulative",0,"NYB",NA
"275",1983,"OISST_HW_intensity_cumulative",9.52545,"NYB",NA
"276",1984,"OISST_HW_intensity_cumulative",23.7278333333333,"NYB",NA
"277",1985,"OISST_HW_intensity_cumulative",41.22285,"NYB",NA
"278",1986,"OISST_HW_intensity_cumulative",11.0342,"NYB",NA
"279",1987,"OISST_HW_intensity_cumulative",0,"NYB",NA
"280",1988,"OISST_HW_intensity_cumulative",17.3099,"NYB",NA
"281",1989,"OISST_HW_intensity_cumulative",10.2225,"NYB",NA
"282",1990,"OISST_HW_intensity_cumulative",11.9785666666667,"NYB",NA
"283",1991,"OISST_HW_intensity_cumulative",18.31475,"NYB",NA
"284",1992,"OISST_HW_intensity_cumulative",0,"NYB",NA
"285",1993,"OISST_HW_intensity_cumulative",17.40675,"NYB",NA
"286",1994,"OISST_HW_intensity_cumulative",24.57915,"NYB",NA
"287",1995,"OISST_HW_intensity_cumulative",9.0375,"NYB",NA
"288",1996,"OISST_HW_intensity_cumulative",0,"NYB",NA
"289",1997,"OISST_HW_intensity_cumulative",0,"NYB",NA
"290",1998,"OISST_HW_intensity_cumulative",0,"NYB",NA
"291",1999,"OISST_HW_intensity_cumulative",32.4215333333333,"NYB",NA
"292",2000,"OISST_HW_intensity_cumulative",19.33265,"NYB",NA
"293",2001,"OISST_HW_intensity_cumulative",18.5597,"NYB",NA
"294",2002,"OISST_HW_intensity_cumulative",27.30854,"NYB",NA
"295",2003,"OISST_HW_intensity_cumulative",10.2208,"NYB",NA
"296",2004,"OISST_HW_intensity_cumulative",0,"NYB",NA
"297",2005,"OISST_HW_intensity_cumulative",25.73075,"NYB",NA
"298",2006,"OISST_HW_intensity_cumulative",37.9506333333333,"NYB",NA
"299",2007,"OISST_HW_intensity_cumulative",11.707,"NYB",NA
"300",2008,"OISST_HW_intensity_cumulative",12.1705,"NYB",NA
"301",2009,"OISST_HW_intensity_cumulative",32.8408666666667,"NYB",NA
"302",2010,"OISST_HW_intensity_cumulative",34.88988,"NYB",NA
"303",2011,"OISST_HW_intensity_cumulative",122.14968,"NYB",NA
"304",2012,"OISST_HW_intensity_cumulative",70.47685,"NYB",NA
"305",2013,"OISST_HW_intensity_cumulative",48.4949,"NYB",NA
"306",2014,"OISST_HW_intensity_cumulative",66.4209,"NYB",NA
"307",2015,"OISST_HW_intensity_cumulative",105.98366,"NYB",NA
"308",2016,"OISST_HW_intensity_cumulative",36.314,"NYB",NA
"309",2017,"OISST_HW_intensity_cumulative",37.52398,"NYB",NA
"310",2018,"OISST_HW_intensity_cumulative",59.7970666666667,"NYB",NA
"311",2019,"OISST_HW_intensity_cumulative",28.2445,"NYB",NA
"312",2020,"OISST_HW_intensity_cumulative",41.53925,"NYB",NA
"313",1982,"OISST_HW_intensity_mean_relThresh",0,"NYB",NA
"314",1983,"OISST_HW_intensity_mean_relThresh",0.50415,"NYB",NA
"315",1984,"OISST_HW_intensity_mean_relThresh",0.3573,"NYB",NA
"316",1985,"OISST_HW_intensity_mean_relThresh",0.4511,"NYB",NA
"317",1986,"OISST_HW_intensity_mean_relThresh",0.3132,"NYB",NA
"318",1987,"OISST_HW_intensity_mean_relThresh",0,"NYB",NA
"319",1988,"OISST_HW_intensity_mean_relThresh",0.5767,"NYB",NA
"320",1989,"OISST_HW_intensity_mean_relThresh",0.5346,"NYB",NA
"321",1990,"OISST_HW_intensity_mean_relThresh",0.356133333333333,"NYB",NA
"322",1991,"OISST_HW_intensity_mean_relThresh",0.5597,"NYB",NA
"323",1992,"OISST_HW_intensity_mean_relThresh",0,"NYB",NA
"324",1993,"OISST_HW_intensity_mean_relThresh",0.3319,"NYB",NA
"325",1994,"OISST_HW_intensity_mean_relThresh",0.392,"NYB",NA
"326",1995,"OISST_HW_intensity_mean_relThresh",0.1943,"NYB",NA
"327",1996,"OISST_HW_intensity_mean_relThresh",0,"NYB",NA
"328",1997,"OISST_HW_intensity_mean_relThresh",0,"NYB",NA
"329",1998,"OISST_HW_intensity_mean_relThresh",0,"NYB",NA
